[Wed 10:05:36] <manu`>	Agenda: http://lists.w3.org/Archives/Public/public-webpayments/2014Sep/0121.html
[Wed 11:39:49] <manu`>	dlongley: We may want to specify other limitations, can we move that into the prior pay-as-you-go token use case?
[Wed 11:39:53] <mediaprophet>	within agree terms.
[Wed 11:39:58] <pindarhk>	Purchase bomb attack?
[Wed 11:40:17] <mediaprophet>	only within agreed terms
[Wed 11:40:47] <manu`>	Response to Dave Longley: This is largely a duplicate of the pay-as-you-go token use case, the only bit that we could add to the pay-as-you-go use case is the ("and/or other limitations") language.
[Wed 11:41:53] <pindarhk>	For example: very small deltas in offer price by a dodgy merchant?
[Wed 11:43:16] <manu`>	manu: You can put other limits on it - per purchase, per month, etc. to protect against purchase bombs.
[Wed 11:43:52] <dlongley>	dlongley: Or you can say up to $10 can be spent at this merchant, but for any single offer, only up to $1 can be spent, for instance.
[Wed 11:44:23] <dlongley>	dlongley: A variety of parameters can be offered by payment processors to their users to manage convenience and trust.
[Wed 11:44:34] <manu`>	I modified the pay as you go use case a bit: A buyer visits a merchant's website and initiates a payment. Their payment processor presents them with an option to assign a pay-as-you-go token with a specific spending limit (and/or other limitations) for future purchases with the merchant. An option is also presented to require the display of a receipt when a purchase occurs (and/or other interactions), or to perform the purchase in the background with no interactive purchase process required.
[Wed 11:45:18] <pindarhk>	thinking
[Wed 11:45:44] <pindarhk>	ok that works for me tks!
[Wed 11:46:21] <dlongley>	manu`: I think we're done. Does anyone think we aren't?
[Wed 11:46:21] <dlongley>	Cheering / celebration.
[Wed 11:46:45] <manu`>	Topic: Voting on the Use Cases
[Wed 11:47:10] <dlongley>	manu`: We can clean it up in the wiki and go through another set of comments -- but I don't think that would be a good idea at this point because we've discussed them to death.
[Wed 11:47:30] <dlongley>	manu`: Let's just put them in a document and see if the community agrees to it; it's not a final document but let's try to get agreement on it being a solid starting document.
[Wed 11:47:44] <dlongley>	manu`: The alternative is allowing everyone to vote on each individual use case, which might be an issue.
[Wed 11:47:57] <pindarhk>	I prefer a vote on the entire document, and allow people to note objections for each use case
[Wed 11:48:37] <pindarhk>	vote on whole document but not objections
[Wed 11:48:47] <manu`>	dlongley: I think we should allow people to make notes for each individual use case. So, vote on document, then leave feedback on individual use cases that can be integrated into next revision of the document.
[Wed 11:48:59] <manu`>	voip: connections?
[Wed 11:48:59] <voip-wp>	Conference connections: Pindar Wong [SIP/getonsip.com-0000008a], IAX2/diamondcard-1269, Dave Longley [SIP/6002-00000080], Manu Sporny [SIP/6000-0000007f], Pindar Wong [SIP/getonsip.com-0000008b], Dave Lehn [SIP/6003-00000084]
[Wed 11:51:24] <dlongley>	manu`: The vote is a yay or nay for the document and then there can be comments on each individual use case.
[Wed 11:51:24] <mediaprophet>	+1
[Wed 11:51:29] <pindarhk>	+1
[Wed 11:51:32] <dlongley>	manu`: We can't go through another round of comments because it will take too long.
[Wed 11:51:38] <dlongley>	+1
[Wed 11:51:52] <manu`>	PROPOSAL: There will be a vote on all of the use cases that the group has revised over the past 3 months with an option to make additional comments on each individual use case.
[Wed 11:51:56] <pindarhk>	Good way fwd.
[Wed 11:52:03] <dlongley>	+1
[Wed 11:52:04] <manu`>	+1
[Wed 11:52:06] <dlehn>	+1
[Wed 11:52:07] <pindarhk>	+1
[Wed 11:52:08] <mediaprophet>	+1
[Wed 11:52:13] <manu`>	RESOLVED: There will be a vote on all of the use cases that the group has revised over the past 3 months with an option to make additional comments on each individual use case.
[Wed 11:52:19] <pindarhk>	I think we're done! :)
[Wed 11:52:24] <pindarhk>	HURRAY!
[Wed 11:52:27] <dlongley>	yay!
[Wed 11:53:33] <manu`>	PROPOSAL: Open a vote by the end of the week on the whether or not to accept the use case document as the CG's official position, the vote will be open for 2 weeks from the time the polls open.
[Wed 11:53:36] <manu`>	+1
[Wed 11:53:37] <dlongley>	+1
[Wed 11:53:40] <mediaprophet>	+1
[Wed 11:53:51] <dlehn>	+1
[Wed 11:53:51] <pindarhk>	+1
[Wed 11:53:53] <manu`>	RESOLVED: Open a vote by the end of the week on the whether or not to accept the use case document as the CG's official position, the vote will be open for 2 weeks from the time the polls open.
[Wed 11:53:59] <pindarhk>	Thank you one and all... thanks Tim for staying up so very late for you.
[Wed 11:54:06] <dlongley>	dlongley: yeah, thanks tim!
[Wed 11:54:13] <pindarhk>	Cheers! :)
[Wed 11:54:16] <voip-wp>	Manu Sporny (SIP/6000-0000007f) has left the conference.
[Wed 11:54:17] <voip-wp>	Dave Longley (SIP/6002-00000080) has left the conference.
[Wed 11:54:20] <mediaprophet>	Cheers ;)
